target	method	design	n_animals	residual_df	family_df	h2_true	level	n_boot	reps	fit_success	interval_success	covered	coverage	mcse_observed	mcse_nominal	mean_width
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.2	0.95	0	500	492	492	457	0.92886179	0.01158896	0.009825717	0.40797942
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.4	0.9	0	500	500	500	440	0.88	0.014532722	0.013416408	0.47618884
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.4	0.95	0	500	500	500	452	0.904	0.013174521	0.0097467943	0.56897343
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.6	0.9	0	500	500	500	430	0.86	0.015517732	0.013416408	0.5498442
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.6	0.95	0	500	500	500	455	0.91	0.012798437	0.0097467943	0.65927937
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.8	0.9	0	500	499	499	446	0.89378758	0.013792867	0.013429844	0.55022545
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.8	0.95	0	500	499	499	474	0.9498998	0.0097658119	0.0097565558	0.6598742
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.2	0.9	0	500	492	492	440	0.89430894	0.013860547	0.013525045	0.3469064
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.2	0.95	0	500	492	492	456	0.92682927	0.011740484	0.009825717	0.40104569
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.4	0.9	0	500	500	500	437	0.874	0.014840755	0.013416408	0.46832864
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.4	0.95	0	500	500	500	450	0.9	0.013416408	0.0097467943	0.55684745
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.6	0.9	0	500	500	500	429	0.858	0.015609997	0.013416408	0.54063808
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.6	0.95	0	500	500	500	453	0.906	0.013050977	0.0097467943	0.64488707
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.8	0.9	0	500	499	499	441	0.88376754	0.014347706	0.013429844	0.54101295
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.8	0.95	0	500	499	499	469	0.93987976	0.010641338	0.0097565558	0.64543274
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.2	0.9	0	500	492	492	440	0.89430894	0.013860547	0.013525045	0.34573261
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.2	0.95	0	500	492	492	455	0.92479675	0.011889372	0.009825717	0.39945155
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.4	0.9	0	500	500	500	437	0.874	0.014840755	0.013416408	0.46652197
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.4	0.95	0	500	500	500	449	0.898	0.013534844	0.0097467943	0.55407379
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.6	0.9	0	500	500	500	429	0.858	0.015609997	0.013416408	0.53852479
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.6	0.95	0	500	500	500	453	0.906	0.013050977	0.0097467943	0.64160203
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.8	0.9	0	500	499	499	440	0.88176353	0.014454448	0.013429844	0.5388982
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.8	0.95	0	500	499	499	468	0.93787575	0.010805701	0.0097565558	0.64213681
sigma_a2	sigma_a2_profile_chisq	medium	240	237	45	0.2	0.9	0	500	492	492	448	0.91056911	0.012865234	0.013525045	0.37628147
sigma_a2	sigma_a2_profile_chisq	medium	240	237	45	0.2	0.95	0	500	492	492	474	0.96341463	0.0084640412	0.009825717	0.45365614
sigma_a2	sigma_a2_profile_chisq	medium	240	237	45	0.4	0.9	0	500	500	500	446	0.892	0.013880634	0.013416408	0.48540302
sigma_a2	sigma_a2_profile_chisq	medium	240	237	45	0.4	0.95	0	500	500	500	472	0.944	0.010282412	0.0097467943	0.58265653
sigma_a2	sigma_a2_profile_chisq	medium	240	237	45	0.6	0.9	0	500	500	500	442	0.884	0.014320894	0.013416408	0.54687632
