target	method	design	n_animals	residual_df	family_df	h2_true	level	n_boot	reps	fit_success	interval_success	covered	coverage	mcse_observed	mcse_nominal	mean_width
sigma_a2	sigma_a2_satterthwaite_chisq_probe	small	120	117	21	0.4	0.9	0	500	498	469	423	0.90191898	0.013733772	0.013852713	1.1708727
sigma_a2	sigma_a2_satterthwaite_chisq_probe	small	120	117	21	0.4	0.95	0	500	498	469	433	0.92324094	0.012292379	0.010063763	1.6642893
sigma_a2	sigma_a2_satterthwaite_chisq_probe	small	120	117	21	0.6	0.9	0	500	498	494	441	0.89271255	0.01392409	0.013497638	1.0180177
sigma_a2	sigma_a2_satterthwaite_chisq_probe	small	120	117	21	0.6	0.95	0	500	498	494	459	0.9291498	0.011543831	0.0098058068	1.3271044
sigma_a2	sigma_a2_satterthwaite_chisq_probe	small	120	117	21	0.8	0.9	0	500	483	483	446	0.92339545	0.012101734	0.013650473	0.86602161
sigma_a2	sigma_a2_satterthwaite_chisq_probe	small	120	117	21	0.8	0.95	0	500	483	483	459	0.95031056	0.0098876086	0.0099168385	1.0832944
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.2	0.9	0	500	352	352	341	0.96875	0.0092738387	0.015990054	0.86878043
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.2	0.95	0	500	352	352	351	0.99715909	0.0028368708	0.011616505	0.92515288
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.4	0.9	0	500	407	407	407	1	0	0.014870448	0.8437822
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.4	0.95	0	500	407	407	407	1	0	0.01080313	0.90856687
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.6	0.9	0	500	440	440	440	1	0	0.014301939	0.8171498
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.6	0.95	0	500	440	440	440	1	0	0.010390118	0.88971003
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.8	0.9	0	500	396	396	396	1	0	0.015075567	0.81281801
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.8	0.95	0	500	396	396	396	1	0	0.010952146	0.88957165
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.2	0.9	0	500	352	352	333	0.94602273	0.012044393	0.015990054	0.84243703
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.2	0.95	0	500	352	352	351	0.99715909	0.0028368708	0.011616505	0.89915972
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.4	0.9	0	500	407	407	407	1	0	0.014870448	0.81438284
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.4	0.95	0	500	407	407	407	1	0	0.01080313	0.87835206
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.6	0.9	0	500	440	440	440	1	0	0.014301939	0.78494506
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.6	0.95	0	500	440	440	440	1	0	0.010390118	0.85555754
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.8	0.9	0	500	396	396	396	1	0	0.015075567	0.77863438
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.8	0.95	0	500	396	396	396	1	0	0.010952146	0.85354553
h2	h2_delta_z	tiny	36	33	9	0.2	0.9	0	500	352	352	330	0.9375	0.012901919	0.015990054	0.832438
