# HSquared.jl AI-REML per-section profiler  2026-09-19T08:03:15.572
# git_sha=2dc5f8f7  julia=1.10.0  os=Darwin arm64-apple-darwin22.4.0
# blas=LBTConfig([ILP64] libopenblas64_.dylib)
# JULIA_NUM_THREADS=4  OPENBLAS_NUM_THREADS=1
# cpu=Apple M1 Ultra
# NOT CI / OPT-IN measurement only. No performance claim, no regression gate.
fixture	q	fill	iteration	section	method	wall_s	bytes	factorizations
halfsib	5000	3.849	7	cholmod_factor	instrumented	0.000950	3062008	12
halfsib	5000	3.849	7	mme_solve	instrumented	0.000072	560904	12
halfsib	5000	3.849	7	selinv	instrumented	0.000317	1172016	12
halfsib	5000	3.849	7	ai_step	instrumented	0.000206	1604432	12
halfsib	5000	3.849	7	iteration_total	instrumented	0.002114	0	12
halfsib	5000	3.849	8	mme_assembly	instrumented	0.000650	5742000	12
halfsib	5000	3.849	8	cholmod_factor	instrumented	0.000951	3062008	12
halfsib	5000	3.849	8	mme_solve	instrumented	0.000071	560904	12
halfsib	5000	3.849	8	selinv	instrumented	0.000259	1172016	12
halfsib	5000	3.849	8	ai_step	instrumented	0.000224	1604432	12
halfsib	5000	3.849	8	iteration_total	instrumented	0.002155	0	12
halfsib	5000	3.849	9	mme_assembly	instrumented	0.000825	5742000	12
halfsib	5000	3.849	9	cholmod_factor	instrumented	0.001237	3062632	12
halfsib	5000	3.849	9	mme_solve	instrumented	0.000072	560904	12
halfsib	5000	3.849	9	selinv	instrumented	0.000247	1172016	12
halfsib	5000	3.849	9	ai_step	instrumented	0.000194	1604432	12
halfsib	5000	3.849	9	iteration_total	instrumented	0.002576	0	12
halfsib	5000	3.849	10	mme_assembly	instrumented	0.000584	5742000	12
halfsib	5000	3.849	10	cholmod_factor	instrumented	0.000942	3062008	12
halfsib	5000	3.849	10	mme_solve	instrumented	0.000070	560904	12
halfsib	5000	3.849	10	selinv	instrumented	0.000354	1172016	12
halfsib	5000	3.849	10	ai_step	instrumented	0.000297	1604432	12
halfsib	5000	3.849	10	iteration_total	instrumented	0.002247	0	12
halfsib	5000	3.849	11	mme_assembly	instrumented	0.000779	5742000	12
halfsib	5000	3.849	11	cholmod_factor	instrumented	0.000973	3062008	12
halfsib	5000	3.849	11	mme_solve	instrumented	0.000070	560904	12
halfsib	5000	3.849	11	selinv	instrumented	0.000248	1172016	12
halfsib	5000	3.849	11	ai_step	instrumented	0.000198	1604432	12
halfsib	5000	3.849	11	iteration_total	instrumented	0.002267	0	12
halfsib	5000	3.849	12	mme_assembly	instrumented	0.000583	5742000	12
halfsib	5000	3.849	12	cholmod_factor	instrumented	0.000978	3062008	12
halfsib	5000	3.849	12	mme_solve	instrumented	0.000075	560904	12
halfsib	5000	3.849	12	selinv	instrumented	0.000267	1172016	12
halfsib	5000	3.849	12	ai_step	instrumented	0.000212	1604432	12
halfsib	5000	3.849	12	iteration_total	instrumented	0.002116	0	12
halfsib	5000	3.849	0	ai_step	profile	0.000119	NaN	12
halfsib	5000	3.849	0	other	profile	0.025051	NaN	12
