# HSquared.jl AI-REML per-section profiler  2026-09-19T08:14:47.114
# git_sha=c8cf8e05  julia=1.10.0  os=Darwin arm64-apple-darwin22.4.0
# blas=LBTConfig([ILP64] libopenblas64_.dylib)
# JULIA_NUM_THREADS=4  OPENBLAS_NUM_THREADS=1
# cpu=Apple M1 Ultra
# NOT CI / OPT-IN measurement only. No performance claim, no regression gate.
fixture	q	fill	iteration	section	method	wall_s	bytes	factorizations
halfsib	5000	3.849	10	mme_assembly	instrumented	0.000613	5742000	12
halfsib	5000	3.849	10	cholmod_factor	instrumented	0.000947	3062008	12
halfsib	5000	3.849	10	mme_solve	instrumented	0.000070	560904	12
halfsib	5000	3.849	10	selinv	instrumented	0.000252	1172016	12
halfsib	5000	3.849	10	ai_step	instrumented	0.000199	1604432	12
halfsib	5000	3.849	10	iteration_total	instrumented	0.002083	0	12
halfsib	5000	3.849	11	mme_assembly	instrumented	0.000589	5742000	12
halfsib	5000	3.849	11	cholmod_factor	instrumented	0.000948	3062008	12
halfsib	5000	3.849	11	mme_solve	instrumented	0.000070	560904	12
halfsib	5000	3.849	11	selinv	instrumented	0.000253	1172016	12
halfsib	5000	3.849	11	ai_step	instrumented	0.000201	1604432	12
halfsib	5000	3.849	11	iteration_total	instrumented	0.002062	0	12
halfsib	5000	3.849	12	mme_assembly	instrumented	0.000885	5742640	12
halfsib	5000	3.849	12	cholmod_factor	instrumented	0.000963	3062008	12
halfsib	5000	3.849	12	mme_solve	instrumented	0.000072	560904	12
halfsib	5000	3.849	12	selinv	instrumented	0.000258	1172016	12
halfsib	5000	3.849	12	ai_step	instrumented	0.000199	1604432	12
halfsib	5000	3.849	12	iteration_total	instrumented	0.002378	0	12
halfsib	5000	3.849	0	selinv	profile	0.000902	NaN	12
halfsib	5000	3.849	0	other	profile	0.022802	NaN	12
halfsib	5000	3.849	0	mme_solve	profile	0.000062	NaN	12
halfsib	5000	3.849	0	ai_step	profile	0.000062	NaN	12
halfsib	5000	3.849	0	cholmod_factor	profile	0.003046	NaN	12
halfsib	5000	3.849	0	mme_assembly	profile	0.001787	NaN	12
halfsib	20000	3.850	1	mme_assembly	instrumented	0.002228	22933856	15
halfsib	20000	3.850	1	cholmod_factor	instrumented	0.003772	12242008	15
halfsib	20000	3.850	1	mme_solve	instrumented	0.000287	2240904	15
halfsib	20000	3.850	1	selinv	instrumented	0.000991	4682064	15
halfsib	20000	3.850	1	ai_step	instrumented	0.001014	6405184	15
halfsib	20000	3.850	1	iteration_total	instrumented	0.008507	0	15
halfsib	20000	3.850	2	mme_assembly	instrumented	0.002220	22933856	15
halfsib	20000	3.850	2	cholmod_factor	instrumented	0.003832	12242008	15
halfsib	20000	3.850	2	mme_solve	instrumented	0.000279	2240904	15
halfsib	20000	3.850	2	selinv	instrumented	0.001318	4682208	15
halfsib	20000	3.850	2	ai_step	instrumented	0.000793	6404992	15
halfsib	20000	3.850	2	iteration_total	instrumented	0.008443	0	15
halfsib	20000	3.850	3	mme_assembly	instrumented	0.002305	22933856	15
halfsib	20000	3.850	3	cholmod_factor	instrumented	0.003815	12242008	15
halfsib	20000	3.850	3	mme_solve	instrumented	0.000284	2240904	15
halfsib	20000	3.850	3	selinv	instrumented	0.001261	4682208	15
halfsib	20000	3.850	3	ai_step	instrumented	0.000778	6404912	15
halfsib	20000	3.850	3	iteration_total	instrumented	0.008445	0	15
halfsib	20000	3.850	4	mme_assembly	instrumented	0.002268	22933856	15
halfsib	20000	3.850	4	cholmod_factor	instrumented	0.003839	12242008	15
halfsib	20000	3.850	4	mme_solve	instrumented	0.000574	2241016	15
halfsib	20000	3.850	4	selinv	instrumented	0.001018	4682064	15
halfsib	20000	3.850	4	ai_step	instrumented	0.000784	6404752	15
halfsib	20000	3.850	4	iteration_total	instrumented	0.008485	0	15
halfsib	20000	3.850	5	mme_assembly	instrumented	0.002270	22933856	15
halfsib	20000	3.850	5	cholmod_factor	instrumented	0.004096	12242168	15
halfsib	20000	3.850	5	mme_solve	instrumented	0.000292	2240904	15
halfsib	20000	3.850	5	selinv	instrumented	0.000999	4682064	15
halfsib	20000	3.850	5	ai_step	instrumented	0.000790	6404592	15
halfsib	20000	3.850	5	iteration_total	instrumented	0.008447	0	15
halfsib	20000	3.850	6	mme_assembly	instrumented	0.002271	22933856	15
halfsib	20000	3.850	6	cholmod_factor	instrumented	0.004096	12242168	15
halfsib	20000	3.850	6	mme_solve	instrumented	0.000285	2240904	15
halfsib	20000	3.850	6	selinv	instrumented	0.000996	4682064	15
halfsib	20000	3.850	6	ai_step	instrumented	0.000781	6404432	15
halfsib	20000	3.850	6	iteration_total	instrumented	0.008430	0	15
halfsib	20000	3.850	7	mme_assembly	instrumented	0.002271	22933856	15
halfsib	20000	3.850	7	cholmod_factor	instrumented	0.004062	12242168	15
halfsib	20000	3.850	7	mme_solve	instrumented	0.000284	2240904	15
halfsib	20000	3.850	7	selinv	instrumented	0.000997	4682064	15
halfsib	20000	3.850	7	ai_step	instrumented	0.000785	6404432	15
halfsib	20000	3.850	7	iteration_total	instrumented	0.008401	0	15
halfsib	20000	3.850	8	mme_assembly	instrumented	0.002261	22933856	15
halfsib	20000	3.850	8	cholmod_factor	instrumented	0.004103	12242168	15
halfsib	20000	3.850	8	mme_solve	instrumented	0.000286	2240904	15
halfsib	20000	3.850	8	selinv	instrumented	0.000997	4682064	15
halfsib	20000	3.850	8	ai_step	instrumented	0.000795	6404432	15
halfsib	20000	3.850	8	iteration_total	instrumented	0.008445	0	15
halfsib	20000	3.850	9	mme_assembly	instrumented	0.002273	22933856	15
halfsib	20000	3.850	9	cholmod_factor	instrumented	0.004045	12242168	15
halfsib	20000	3.850	9	mme_solve	instrumented	0.000281	2240904	15
halfsib	20000	3.850	9	selinv	instrumented	0.000994	4682064	15
halfsib	20000	3.850	9	ai_step	instrumented	0.000778	6404432	15
halfsib	20000	3.850	9	iteration_total	instrumented	0.008372	0	15
halfsib	20000	3.850	10	mme_assembly	instrumented	0.002594	22934016	15
halfsib	20000	3.850	10	cholmod_factor	instrumented	0.003841	12242008	15
halfsib	20000	3.850	10	mme_solve	instrumented	0.000287	2240904	15
halfsib	20000	3.850	10	selinv	instrumented	0.000991	4682064	15
halfsib	20000	3.850	10	ai_step	instrumented	0.000783	6404432	15
halfsib	20000	3.850	10	iteration_total	instrumented	0.008497	0	15
halfsib	20000	3.850	11	mme_assembly	instrumented	0.003226	22934016	15
halfsib	20000	3.850	11	cholmod_factor	instrumented	0.003941	12242008	15
halfsib	20000	3.850	11	mme_solve	instrumented	0.000302	2240904	15
halfsib	20000	3.850	11	selinv	instrumented	0.001048	4682064	15
halfsib	20000	3.850	11	ai_step	instrumented	0.000785	6404432	15
